Yr,CountyName,CropName,Acres,Volume
1985,ANDERSON      ,SORGHUM,"1,000",500
1986,ANDERSON      ,OTHER,"1,000",500
1987,ANDERSON      ,OTHER,"1,000",500
1988,ANDERSON      ,OTHER,"1,000",500
1989,ANDERSON      ,CORN,80,27
1989,ANDERSON      ,ORCHARD,77,34
1989,ANDERSON      ,OTHER,15,4
1989,ANDERSON      ,VEGETABLES,565,317
1990,ANDERSON      ,CORN,80,27
1990,ANDERSON      ,ORCHARD,65,22
1990,ANDERSON      ,OTHER,25,8
1990,ANDERSON      ,VEGETABLES,580,277
1991,ANDERSON      ,OTHER,750,375
1992,ANDERSON      ,OTHER,751,376
1993,ANDERSON      ,CORN,60,20
1993,ANDERSON      ,FORAGE HAY PASTURE,300,50
1993,ANDERSON      ,ORCHARD,67,28
1993,ANDERSON      ,OTHER,15,4
1993,ANDERSON      ,VEGETABLES,405,210
1994,ANDERSON      ,CORN,60,20
1994,ANDERSON      ,FORAGE HAY PASTURE,300,50
1994,ANDERSON      ,ORCHARD,67,28
1994,ANDERSON      ,OTHER,15,4
1994,ANDERSON      ,VEGETABLES,405,227
1995,ANDERSON      ,CORN,60,20
1995,ANDERSON      ,FORAGE HAY PASTURE,300,50
1995,ANDERSON      ,ORCHARD,67,28
1995,ANDERSON      ,OTHER,15,4
1995,ANDERSON      ,VEGETABLES,405,227
1996,ANDERSON      ,CORN,570,190
1996,ANDERSON      ,FORAGE HAY PASTURE,300,50
1996,ANDERSON      ,ORCHARD,67,28
1996,ANDERSON      ,OTHER,15,4
1996,ANDERSON      ,VEGETABLES,405,210
1997,ANDERSON      ,CORN,456,152
1997,ANDERSON      ,FORAGE HAY PASTURE,300,50
1997,ANDERSON      ,ORCHARD,67,28
1997,ANDERSON      ,OTHER,15,4
1997,ANDERSON      ,VEGETABLES,408,228
1998,ANDERSON      ,CORN,900,300
1998,ANDERSON      ,ORCHARD,67,23
1999,ANDERSON      ,CORN,900,300
1999,ANDERSON      ,ORCHARD,67,28
