Year,USGS,TWDB
1958,,6723.614
1964,,7706.881
1969,,8206.249
1974,,8618.054
1979,,7817.681
1984,,6752.625
1985,6755.06,
1989,,6081.817
1990,6224.87,
1994,,6313.222
1995,6313.22,
2000,6487.93,6353.065
2001,,6278.213
2002,,6619.273
2003,,6748.105
2004,,6213.205
2005,6205.78,6103.338
2006,,5615.017
2007,,5861.558
2008,,6164.682
2009,,6028.503
2010,5924.66,5925.459
2011,,6030.902
2012,,5796.423
2013,,5920.587
2014,,6083.658
2015,5662.91,5663.706
2016,,5841.04
2017,,5752.29
2018,,5793.213
2019,,6224.665
2020,,6203.005
2021,,6373.715
2022,,6266.75
2023,,6370.641
