Year,Groundwater,Surface Water,Total Irrigation Region,
1958,4764930,65,4764995,High Plains
1964,7089233,775,7090008,High Plains
1969,6131100,1138,6132238,High Plains
1974,7628983,928,7629911,High Plains
1979,4674528,596,4675124,High Plains
1984,4696380,1130,4697510,High Plains
1989,4174848,935,4175783,High Plains
1994,4990493,113,4990606,High Plains
2000,5773093,17084,5790177,High Plains
2001,5239642,13814,5253456,High Plains
2002,5898637,16099,5914736,High Plains
2003,5439887,12229,5452116,High Plains
2004,5386854,9341,5396195,High Plains
2005,4315393,8720,4324113,High Plains
2006,3989075,9165,3998240,High Plains
2007,5371957,7554,5379511,High Plains
2008,5627111,5933,5633044,High Plains
2009,4954280,1352,4955632,High Plains
2010,3793653,1677,3795330,High Plains
2011,5443914,1527,5445441,High Plains
2012,5353049,1769,5354818,High Plains
2013,4815511,3105,4818616,High Plains
2014,4277435,1528,4278963,High Plains
2015,3259414,4438,3263852,High Plains
2016,4101901,2358,4104259,High Plains
2017,3495893,2030,3497923,High Plains
2018,3993429,2380,3995809,High Plains
2019,3805901,4368,3810269,High Plains
2020,4084355,2163,4086518,High Plains
2021,3929504,2300,3931804,High Plains
2022,3985098,2376,3987474,High Plains
2023,4093221,1787,4095008,High Plains
1958,365153,638221,1003374,Gulf Coast
1964,328840,683893,1012733,Gulf Coast
1969,509946,803365,1313311,Gulf Coast
1974,457062,637514,1094576,Gulf Coast
1979,276694,572271,848965,Gulf Coast
1984,364449,629341,993790,Gulf Coast
1989,268354,552474,820828,Gulf Coast
1994,267927,569066,836993,Gulf Coast
2000,235216,560661,795877,Gulf Coast
2001,227082,742357,969439,Gulf Coast
2002,216108,463712,679820,Gulf Coast
2003,239819,670000,909819,Gulf Coast
2004,205389,772333,977722,Gulf Coast
2005,184997,726408,911405,Gulf Coast
2006,197835,528009,725844,Gulf Coast
2007,157670,415494,573164,Gulf Coast
2008,219385,495445,714830,Gulf Coast
2009,243365,469958,713323,Gulf Coast
2010,244255,542046,786301,Gulf Coast
2011,343267,820970,1164237,Gulf Coast
2012,246596,339306,585902,Gulf Coast
2013,254437,371791,626228,Gulf Coast
2014,245104,295477,540581,Gulf Coast
2015,202978,256986,459964,Gulf Coast
2016,179172,443900,623072,Gulf Coast
2017,202034,382299,584333,Gulf Coast
2018,220674,412331,633005,Gulf Coast
2019,190798,348420,539218,Gulf Coast
2020,203916,435965,639881,Gulf Coast
2021,156179,334953,491132,Gulf Coast
2022,179844,463791,643635,Gulf Coast
2023,199634,283349,482983,Gulf Coast
1958,159809,1185376,1345185,South Texas
1964,332088,911846,1243934,South Texas
1969,293225,1127734,1420959,South Texas
1974,249968,1113785,1363753,South Texas
1979,236793,944773,1181566,South Texas
1984,275169,1028114,1303283,South Texas
1989,275398,1220899,1496297,South Texas
1994,175079,1395621,1570700,South Texas
2000,146948,663522,810470,South Texas
2001,171186,794585,965771,South Texas
2002,255330,704671,960001,South Texas
2003,148848,518197,667045,South Texas
2004,155976,552185,708161,South Texas
2005,149099,947965,1097064,South Texas
2006,162832,997156,1159988,South Texas
2007,98058,972283,1070341,South Texas
2008,142499,1055732,1198231,South Texas
2009,175980,1062749,1238729,South Texas
2010,123690,785484,909174,South Texas
2011,187887,1430372,1618259,South Texas
2012,159395,1019808,1179203,South Texas
2013,123721,686504,810225,South Texas
2014,126967,824297,951264,South Texas
2015,89402,522486,611888,South Texas
2016,105307,1014381,1119688,South Texas
2017,96997,1249839,1346836,South Texas
2018,110398,1212321,1322719,South Texas
2019,115775,1064290,1180065,South Texas
2020,119200,1138477,1257677,South Texas
2021,111275,1015335,1126610,South Texas
2022,115850,772178,888028,South Texas
2023,109034,576436,685470,South Texas
1958,108175,588,108763,Upper Rio Grande
1964,131532,665,132197,Upper Rio Grande
1969,130343,445,130788,Upper Rio Grande
1974,173651,516,174167,Upper Rio Grande
1979,218345,23916,242261,Upper Rio Grande
1984,130108,21027,151135,Upper Rio Grande
1989,116782,23573,140355,Upper Rio Grande
1994,184524,260046,444570,Upper Rio Grande
2000,250431,287440,537871,Upper Rio Grande
2001,217451,298269,515720,Upper Rio Grande
2002,204868,250817,455685,Upper Rio Grande
2003,185284,164785,350069,Upper Rio Grande
2004,181459,179147,360606,Upper Rio Grande
2005,172871,176837,349708,Upper Rio Grande
2006,111846,215524,327370,Upper Rio Grande
2007,118377,300563,418940,Upper Rio Grande
2008,134030,258190,392220,Upper Rio Grande
2009,110447,310160,420607,Upper Rio Grande
2010,110912,241280,352192,Upper Rio Grande
2011,145079,236790,381869,Upper Rio Grande
2012,234706,98961,333667,Upper Rio Grande
2013,173651,38192,211843,Upper Rio Grande
2014,176580,56208,232788,Upper Rio Grande
2015,162077,124793,286870,Upper Rio Grande
2016,122555,128260,250815,Upper Rio Grande
2017,130481,158197,288678,Upper Rio Grande
2018,122301,156440,278741,Upper Rio Grande
2019,132453,134104,266557,Upper Rio Grande
2020,136654,166331,302985,Upper Rio Grande
2021,131088,136533,267621,Upper Rio Grande
2022,142614,102220,244834,Upper Rio Grande
2023,151535,98685,250220,Upper Rio Grande
