Year,Groundwater,Surface Water,Total
1958,6946620,2170313,9116933
1964,9989649,1992067,11981716
1969,8622041,2352335,10974376
1974,10279992,2186062,12466054
1979,6924044,1850222,8774266
1984,6790592,2055844,8846436
1989,6177253,2152708,8329961
1994,7335445,2542571,9878016
2000,7960395,1814400,9774795
2001,7432129,2246877,9679006
2002,8105991,1724111,9830102
2003,7322490,1717170,9039660
2004,7327339,1888719,9216058
2005,6218909,2255994,8474903
2006,5920487,2149402,8069889
2007,7045377,2034504,9079881
2008,7782138,2152668,9934806
2009,7112401,2144025,9256426
2010,5705232,1898021,7603253
2011,8099919,2982658,11082577
2012,7785396,1704612,9490008
2013,7075714,1357657,8433371
2014,6423592,1402216,7825808
2015,5015271,1133828,6149099
2016,5967759,1801089,7768848
2017,5452410,1975418,7427828
2018,5916787,1992744,7909531
2019,5689518,1745163,7434681
2020,6056433,1983679,8040112
2021,5792014,1723661,7515675
2022,5932286,1611975,7544261
2023,6172338,1173634,7345972
