Year,County Name,Crop Name,Column1,Crop Acreage ,Column2,Water Use in ACFT
1989,ANDERSON      ,CORN,,80,,27
1990,ANDERSON      ,CORN,,80,,27
1993,ANDERSON      ,CORN,,60,,20
1994,ANDERSON      ,CORN,,60,,20
1995,ANDERSON      ,CORN,,60,,20
1996,ANDERSON      ,CORN,,570,,190
1997,ANDERSON      ,CORN,,456,,152
1998,ANDERSON      ,CORN,,900,,300
1999,ANDERSON      ,CORN,,900,,300
2000,ANDERSON      ,COTTON,,370,,154
2001,ANDERSON      ,COTTON,,370,,154
2022,ANDERSON      ,CORN,,0,,0
2022,ANDERSON      ,COTTON,,0,,0
2023,ANDERSON      ,CORN,,0,,0
2023,ANDERSON      ,COTTON,,0,,0
1985,ANDREWS       ,COTTON,,5000,,2917
1986,ANDREWS       ,COTTON,,5800,,2417
1987,ANDREWS       ,COTTON,,2400,,1400
1988,ANDREWS       ,COTTON,,5000,,2917
1989,ANDREWS       ,COTTON,,3769,,2199
1990,ANDREWS       ,COTTON,,4700,,6658
1991,ANDREWS       ,COTTON,,3900,,5525
1992,ANDREWS       ,COTTON,,1000,,1500
1993,ANDREWS       ,COTTON,,3100,,6200
1994,ANDREWS       ,COTTON,,7300,,14600
1995,ANDREWS       ,COTTON,,7491,,11237
1996,ANDREWS       ,COTTON,,5600,,7467
1997,ANDREWS       ,COTTON,,8200,,10933
1998,ANDREWS       ,COTTON,,3600,,6000
1999,ANDREWS       ,COTTON,,1600,,2400
2000,ANDREWS       ,COTTON,,6000,,11000
2001,ANDREWS       ,COTTON,,9000,,14250
2002,ANDREWS       ,COTTON,,7112,,11853
2003,ANDREWS       ,COTTON,,7797,,18193
2004,ANDREWS       ,COTTON,,8324,,10405
2005,ANDREWS       ,COTTON,,6625,,12698
2006,ANDREWS       ,COTTON,,10460,,15690
2007,ANDREWS       ,COTTON,,9819,,13910
2008,ANDREWS       ,CORN,,360,,720
2008,ANDREWS       ,COTTON,,6011,,11521
2009,ANDREWS       ,COTTON,,7951,,9939
2010,ANDREWS       ,COTTON,,10886,,13607
2011,ANDREWS       ,COTTON,,3940,,6238
2012,ANDREWS       ,CORN,,70,,152
2012,ANDREWS       ,COTTON,,7500,,11250
2013,ANDREWS       ,COTTON,,6250,,7813
2014,ANDREWS       ,CORN,,1140,,1805
2014,ANDREWS       ,COTTON,,4000,,4667
