year,total_irrigative_withdrawals,gw_irrigative_withdrawals,sw_irrigative_withdrawals
2000,8835506.820858467,7692565.544703562,1142941.2674221431
2001,8166709.4793434655,7020827.002344683,1145883.1815576842
2002,7708623.796305898,6803227.559472866,905396.7457234261
2003,7582040.18967453,6533458.407138608,1048581.827599755
2004,7063454.030333261,6009170.156342646,1054283.8703746374
2005,8421947.230428854,7123597.058607679,1298350.4521889538
2006,7632164.735925209,6464949.551669282,1167215.176753887
2007,8095748.1163365645,7202772.197030175,892975.9161454929
2008,7921266.623760178,6665326.762131465,1255939.8601648351
2009,8981522.681769677,7562619.418200558,1418903.2840274165
2010,9763836.3235582,8460525.249521347,1303311.0806276358
2011,10623781.26511011,8950657.578772306,1673123.684745024
2012,9581053.336492391,8195536.443240931,1385516.8876123107
2013,9570277.336156774,8209506.397217147,1360770.9397589974
2014,9191639.908037515,7876660.931036019,1314981.4668822812
2015,8026444.066469805,6941016.865782847,1085427.2305079484
2016,9361894.373090936,8154248.256510643,1207646.1209326703
2017,8060970.328042791,6841728.296613411,1219245.3729116013
2018,8875829.682188245,7384671.242312169,1491158.445039963
2019,9603698.714939222,8062400.574034302,1541298.3531949702
2020,10923342.753801405,9223279.231829332,1700063.5194545654
